No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
3640,蔷薇,物品/道具 Items/Props,/,,,wild rose,,Confirmed,バラ,,Confirmed,장미,,Confirmed,Wildrose,Rose sauvage,Rosa silvestre,Дикая роза,rosa selvagem,กุหลาบป่า,mawar liar,,
3641,狐狸的秋千,物品/道具 Items/Props,/,故事书,,The Fox and the Swing,,Confirmed,キツネのブランコ,,Confirmed,여우의 그네,,Confirmed,Der Fuchs und die Schaukel,Le renard et la balançoire,El zorro y el columpio,Лиса и качели,A Raposa e o Balanço,จิ้งจอกกับชิงช้า,Rubah dan Ayunan,,
3642,「幽灵号」异境补给站,地点/场所 Location/Place,/,,,Ghost Train Otherworld Supply Stop,,Confirmed,「幽霊号」異境補給ステーション,,Confirmed,「유령호」 이세계 보급역,,Confirmed,Außerweltliches Vorratslager des Geisterzuges,Arrêt d’approvisionnement éthéré du Train fantôme,Parada de suministros de otro mundo para el tren fantasma,Остановка снабжения поезда-призрака в Ином мире,Parada de Suprimentos do Trem Fantasma,สถานีเสบียงโลกอื่นของรถไฟสายวิญญาณ,Perhentian Suplai Dunia Lain Kereta Hantu,,
3643,幽翎羽,物品/道具 Items/Props,/,幽翎羽设定上是无数的异象列车管理员「浮游小姐」（外形是猫头鹰）在异象空间中掉落的羽毛，玩家在探索异象空间的过程中捡拾到这些遗落的羽毛还给浮游小姐就会得到奖励，功能上是我们用来换取buff增益的专用货币包装,,Shadowquill,,Confirmed,幽界の羽根,,Confirmed,유령 깃털,,Confirmed,Schattenfeder,Ombreplume,Plumasombría,Перо тени,Pena Sombria,ขนนกเงาสลัว,Shadowquill,,
3644,峰林别墅,地点/场所 Location/Place,/,莱昂置业旗下高端房产,,Fenglin Villa,,Confirmed,シルヴァ邸苑,,Confirmed,봉우리 별장,,Confirmed,Fenglin-Villa,Villa de Fenglin,Villa Fenglin,Вилла Фэнлинь,Vila Fenglin,เฟิงหลินวิลล่า,Vila Fenglin,,
3645,金都云邸,地点/场所 Location/Place,/,莱昂置业旗下高端房产,,Golden Capital,,Confirmed,パレス雲都,,Confirmed,금빛 헤리티지,,Confirmed,Goldene Residenz,Capital doré,Capital Dorada,Золотая столица,Capital Dourada,โกลเด้นแคปิทอล,Kapital Emas,,
3646,天景空馆,地点/场所 Location/Place,/,莱昂置业旗下高端房产,,Skyview Halls,,Confirmed,天景の館,,Confirmed,천공의 집,,TBC,Himmelssicht-Hallen,Halls avec vue panoramique,Sala Vistaceleste,Залы Небесного Взора,Salões Vista Celeste,สกายวิวฮอลส์,Aula Skyview,,
3647,新越ST79,物品/道具 Items/Props,/,,,Novus ST79,,Confirmed,シンエツST79,,Confirmed,노버스ST79,,Confirmed,Novus ST79,Novus ST79,Novus ST79,Новус ST79,Novus ST79,โนวุส ST79,Novus ST79,,
3648,呪,技能 Skills,/,"白藏的技能文字;“呪""-技能产生（操作：触发分支后按技能）",,Curse,,Confirmed,呪,,Confirmed,악,,TBC,Fluch,Malédiction,Maldición,Проклятье,Maldição,สาปแช่ง,Curse,,
3649,詈,技能 Skills,/,"白藏的技能文字;“詈""-技能产生（操作：触发闪避后按技能）",,Objurgate,,Confirmed,詈,,Confirmed,죄,,TBC,Einspruch,Réprimande,Reproche,Упрек,Repreensão,ว่าร้าย,Objurgate,,
3650,祝,技能 Skills,/,白藏的技能文字;“祝”-普攻产生（操作：3次普攻命中）,,Bless,,Confirmed,祝,,Confirmed,축,,Confirmed,Segnung,Bénédiction,Bendición,Одарение,Benção,อวยพร,Bless,,
3651,坠点标定,技能 Skills,/,哈索尔大招技能名字；时机已到。哈索尔从空中突袭，踢击目标引发冲击，造成<NumGreen>1</>次范围性的相系异能伤害。,,Impact Point Designation,,Confirmed,配送指示,,Confirmed,조준 낙하,,Confirmed,Sturzflug-Kalibrierung,Désignation du point d’impact,Señalamiento de impacto,Выбор точки воздействия,Definição de Ponto de Impacto,กำหนดจุดตกปะทะ,Impact Point Designation,,
3652,缠殃强化,技能 Skills,/,,,Scorch Enhancement,,Confirmed,濁燃強化,,Confirmed,스코치 강화,,Confirmed,Versengen-Verbesserung,Amélioration de Brûlure,Potenciación de quemadura,Усиление ожога,Aprimoramento de Chamuscamento,เสริมเอฟเฟกต์เผาไหม้,Peningkatan Hangus,,
3653,回慑强化,技能 Skills,/,,,Nova Enhancement,,Confirmed,暗星強化,,Confirmed,노바 강화,,Confirmed,Nova-Verbesserung,Amélioration de Nova,Potenciación de nova,Усиление сверхновой,Aprimoramento de Nova,เสริมเอฟเฟกต์โนว่า,Peningkatan Nova,,
3654,坼绽强化,技能 Skills,/,,,Blossom Enhancement,,Confirmed,創生強化,,Confirmed,블라썸 강화,,Confirmed,Erblühen-Verbesserung,Amélioration de Fleuraison,Potenciación de floración,Усиление цветения,Aprimoramento de Florescimento,เสริมเอฟเฟกต์เบ่งบาน,Peningkatan Mekar,,
3655,延滞强化,技能 Skills,/,,,Remora Enhancement,,Confirmed,延滞強化,,Confirmed,레모라 강화,,Confirmed,Remora-Verbesserung,Amélioration de Rémora,Potenciación de rémora,Усиление реморы,Aprimoramento de Delonga,เสริมเอฟเฟกต์ชะลอ,Peningkatan Terhambat,,
3656,失谐强化,技能 Skills,/,,,Discord Enhancement,,Confirmed,失諧強化,,Confirmed,디스코드 강화,,Confirmed,Zwietracht-Verbesserung,Amélioration de Discorde,Potenciación de discusión,Усиление диссонанса,Aprimoramento de Dissonância,เสริมเอฟเฟกต์ขัดแย้ง,Peningkatan Janggal,,
3657,炭团的谢礼,异象名称 Anomaly Name,Gender-neutral,,,Coal Lump's Gift,,Confirmed,炭団子のお礼,,Confirmed,숯덩이의 답례,,Confirmed,Kohleklümpchengeschenk,Cadeau d’Amas de charbon,Regalo de terrón de carbón,Кусок угля в подарок,Presente de Pedaço de Carvão,ของขวัญของก้อนถ่าน,Hadiah Gumpalan Batu Bara,,
3658,「灯」,物品/道具 Items/Props,/,异象展品,,Lamp,,Confirmed,「灯」,,Confirmed,「램프」,,Confirmed,Lampe,Lampe,Lámpara,«Лампа»,Lâmpada,โคมไฟ,Lampu,,
3659,麦利特,角色名称 Character Name,Male,「爱丽丝烘焙坊」店员,,Merit,,Confirmed,マレット,,Confirmed,메릿,,Confirmed,Merit,Merit,Mérito,Мерит,Mérito,เมอริต,Merit,,
3660,多恩,角色名称 Character Name,Male,「超规格家饰店」销售员,,Dorn,,Confirmed,ドーン,,Confirmed,도른,,TBC,Dorn,Dorn,Dorn,Дорн,Dorn,ดอร์น,Dorn,,
3661,古德文,角色名称 Character Name,Male,「治安官」,,Goodwin,,Confirmed,グッドウィン,,Confirmed,굿윈,,Confirmed,Goodwin,Goodwin,Goodwin,Гудвин,Goodwin,กู้ดวิน,Goodwin,,
3662,奥利,角色名称 Character Name,Male,,,Ollie,,Confirmed,オリー,,Confirmed,올리,,Confirmed,Ollie,Ollie,Ollie,Олли,Ollie,ออลลี,Ollie,,
3663,赞恩,角色名称 Character Name,Male,,,Zane,,Confirmed,ゼーン,,Confirmed,제인,,Confirmed,Zane,Zane,Zane,Зейн,Zane,เซน,Zane,,
3664,雷文,角色名称 Character Name,Male,,,Raven,,Confirmed,レイヴン,,Confirmed,레윈,,Confirmed,Raven,Raven,Raven,Рейвен,Raven,เรเวน,Raven,,
3665,霍克,角色名称 Character Name,Male,,,Hawk,,Confirmed,ホーク,,Confirmed,호크,,Confirmed,Hawk,Hawk,Hawk,Хок,Hawk,ฮอว์ก,Hawk,,
3666,斯蒂尔,角色名称 Character Name,Male,,,Steel,,Confirmed,スティール,,Confirmed,스틸,,Confirmed,Steel,Steel,Steel,Стил,Steel,สตีล,Steel,,
3667,德雷克,角色名称 Character Name,Male,,,Drake,,Confirmed,ドレイク,,Confirmed,드레이크,,Confirmed,Drake,Drake,Drake,Дрейк,Drake,เดรค,Drake,,
3668,西蒙,角色名称 Character Name,Male,,,Simon,,Confirmed,シモン,,Confirmed,시몬,,Confirmed,Simon,Simon,Simon,Саймон,Simon,ไซมอน,Simon,,
3669,伯恩,角色名称 Character Name,Male,,,Byrne,,Confirmed,ボーン,,Confirmed,바이른,,Confirmed,Byrne,Byrne,Byrne,Бирн,Byrne,เบิร์น,Byrne,,
3670,肖恩,角色名称 Character Name,Male,,,Sean,,Confirmed,ショーン,,Confirmed,숀,,Confirmed,Sean,Sean,Sean,Шон,Sean,ฌอน,Sean,,
3671,米勒,角色名称 Character Name,Male,,,Miller,,Confirmed,ミラー,,Confirmed,밀러,,Confirmed,Miller,Miller,Miller,Миллер,Miller,มิลเลอร์,Miller,,
3672,迪恩,角色名称 Character Name,Male,,,Dean,,Confirmed,ディーン,,Confirmed,딘,,TBC,Dean,Dean,Dean,Дин,Dean,ดีน,Dean,,
3673,莫罗,角色名称 Character Name,Male,,,Moro,,Confirmed,モロー,,Confirmed,모로,,Confirmed,Moro,Moro,Moro,Моро,Moro,โมโร,Moro,,
3674,水野,角色名称 Character Name,Male,,,Mizuno,,Confirmed,水野,,Confirmed,미즈노,,Confirmed,Mizuno,Mizuno,Mizuno,Мизуно,Mizuno,มิสึโนะ,Mizuno,,
3675,冴木,角色名称 Character Name,Male,,,Saeki,,Confirmed,冴木,,Confirmed,사에키,,Confirmed,Saeki,Saeki,Saeki,Саэки,Saeki,ซาเอกิ,Saeki,,
3676,桐岛,角色名称 Character Name,Male,,,Kirishima,,Confirmed,桐島,,Confirmed,키리시마,,Confirmed,Kirishima,Kirishima,Kirishima,Киришима,Kirishima,คิริชิมะ,Kirishima,,
3677,森田,角色名称 Character Name,Male,,,Morita,,Confirmed,森田,,Confirmed,모리타,,Confirmed,Morita,Morita,Morita,Морита,Morita,โมริตะ,Morita,,
3678,龙崎,角色名称 Character Name,Male,,,Ryuzaki,,Confirmed,龍崎,,Confirmed,류자키,,Confirmed,Ryuzaki,Ryuzaki,Ryuzaki,Рюдзаки,Ryuzaki,ริวซากิ,Ryuzaki,,
3679,鬼塚,角色名称 Character Name,Male,,,Onizuka,,Confirmed,鬼塚,,Confirmed,오니즈카,,Confirmed,Onizuka,Onizuka,Onizuka,Онидзука,Onizuka,โอนิสึกะ,Onizuka,,
3680,黑目,角色名称 Character Name,Male,,,Kurome,,Confirmed,黒目,,Confirmed,쿠로메,,Confirmed,Kurome,Kurome,Kurome,Куроме,Kurome,คุโรเมะ,Kurome,,
3681,理查,角色名称 Character Name,Male,「Exile on Main St.」店长,,Richard,,Confirmed,リチャード,,Confirmed,리차드,,Confirmed,Richard,Richard,Richard,Ричард,Richard,ริชาร์ด,Richard,,
3682,拉娜,角色名称 Character Name,Female,「竹本清源」店员,,Lana,,Confirmed,ラナ,,Confirmed,라나,,Confirmed,Lana,Lana,Lana,Лана,Lana,ลานา,Lana,,
3683,晴丸,角色名称 Character Name,Female,「抽风猫奶茶店」店员,,Haremaru,,Confirmed,晴丸,,Confirmed,하레마루,,Confirmed,Haremaru,Haremaru,Haremaru,Харемару,Haremaru,ฮาเระมารุ,Haremaru,,
3684,多洛丝,角色名称 Character Name,Female,博物馆讲解员,,Doris,,Revised,ドレス,,Revised,돌로레스,,Confirmed,Dolores,Dolores,Dolores,Долорес,Dolores,โดโลเรส,Dolores,,
3685,迪莉娅,角色名称 Character Name,Female,,,Delia,,Confirmed,デリア,,Confirmed,델리아,,Confirmed,Delia,Delia,Delia,Делия,Delia,เดอเลีย,Delia,,
3686,赛肯,角色名称 Character Name,Male,「暴走玩家」店员,,Saken,,Confirmed,セカンド,,Confirmed,사켄,,Confirmed,Saken,Saken,Saken,Сакэн,Saken,ซาเคน,Saken,,
3687,丽,角色名称 Character Name,Female,「食为天」店员,,Ray,,Confirmed,レイ,,Confirmed,레이,,Confirmed,Ray,Ray,Ray,Рэй,Ray,เรย์,Ray,,
3688,艾莉,角色名称 Character Name,Female,「食为天」店员,,Aeri,,Confirmed,エリー,,Confirmed,애리,,Confirmed,Aeri,Aeri,Aeri,Аэри,Aeri,เอรี่,Aeri,,
3689,黛兰,角色名称 Character Name,Female,「叮咚怪咖所」店员,,Delan,,Confirmed,ディラン,,Confirmed,딜런,,Confirmed,Delan,Delan,Delan,Делан,Delan,ดีแลน,Delan,,
3690,皮特,角色名称 Character Name,Male,,,Pete,,Confirmed,ピーター,,Confirmed,피터,,Confirmed,Pete,Pete,Pete,Пит,Pete,พีท,Pete,,
3691,梅莉凯,角色名称 Character Name,Female,「9℃咖啡厅」店员,,Merry Kay,,Confirmed,ミエリッキ,,Confirmed,메리 케이,,Confirmed,Merry Kay,Merry Kay,Merry Kay,Мерри Кей,Merry Kay,เมอร์รี่ เคย์,Merry Kay,,
3692,伊吉,角色名称 Character Name,Male,「9℃咖啡厅」店员,,Iggy,,Confirmed,イギー,,Confirmed,이기,,Confirmed,Iggy,Iggy,Iggy,Игги,Iggy,อิ๊กกี้,Iggy,,
3693,法露,角色名称 Character Name,Female,「碎雪冰淇淋」店员,,Faro,,Confirmed,ファル,,Confirmed,파로,,Confirmed,Faro,Faro,Faro,Фаро,Faro,แฟโร,Faro,,
3694,小橙,角色名称 Character Name,Female,「幸福冰淇淋」店员,,Orange,,Confirmed,タンジェリン,,Confirmed,규리,,Confirmed,Orange,Orange,Naranja,Оранж,Orange,ออเรนจ์,Orange,,
3695,丽妮丝,角色名称 Character Name,Female,「雷加利亚」经理人,,Linis,,Confirmed,リニス,,Confirmed,리니스,,Confirmed,Linis,Linis,Linis,Линис,Linis,ลินิส,Linis,,
3696,恭子,角色名称 Character Name,Female,「2-Four」店员,,Kyoko,,Confirmed,恭子,,Confirmed,쿄코,,Confirmed,Kyoko,Kyoko,Kyoko,Кёко,Kyoko,เคียวโกะ,Kyoko,,
3697,麦茜,角色名称 Character Name,Female,「咔叽玛快食」店员,,Maisie,,Confirmed,マイシー,,Confirmed,메이지,,Confirmed,Maisie,Maisie,Maisie,Мейзи,Maisie,เมซี่,Maisie,,
3698,麦丽妮,角色名称 Character Name,Female,「2-Four」店员,,Melanie,,Confirmed,メラニー,,Confirmed,멜라니,,Confirmed,Melanie,Mélanie,Melanie,Мелани,Melanie,เมลานี,Melanie,,
3699,曼珀,角色名称 Character Name,Female,「2-Four」店员,,Manpo,,Confirmed,マンボ,,Confirmed,만포,,Confirmed,Manpo,Manpo,Manpo,Манпо,Manpo,ม่านโป้,Manpo,,
3700,雷泽,角色名称 Character Name,Male,「猫丸拉面铺」店员,,Razor,,Confirmed,レーザー,,Confirmed,레이저,,Confirmed,Razor,Razor,Razor,Рейзор,Razor,เรเซอร์,Razor,,
3701,轨外之境,地点/场所 Location/Place,/,,,Beyond the Rails,,Confirmed,軌道外領域,,Confirmed,궤도 너머,,Confirmed,Jenseits der Schienen,Par-delà les rails,Más allá de los rieles,За рельсами,Além dos Trilhos,เลยพ้นจากราง,Di Luar Rel,,
3702,成交？成交！,剧情 Storyline,/,拍卖会篇标题,,Deal? Deal!,,Confirmed,落札？落札！,,Confirmed,콜? 콜!,,Confirmed,Verkauft? Verkauft!,Marché conclu ? Marché conclu !,¿Trato hecho? ¡Trato hecho!,Сделка? Сделка!,Negócio Fechado?,ดีล? ดีล!,Sepakat? Sepakat!,,
3703,某传奇乐队（吗？）的第一页,剧情 Storyline,/,livehouse篇标题,,A Legendary(?) Band's First Page,,Confirmed,とある伝説バンド（なのか？）の始まり,,Confirmed,전설적 밴드(?)의 첫 페이지,,Confirmed,Die erste Seite einer legendären(?) Band,Le premier chapitre d’un groupe légendaire (?),La primera página de una banda legendaria(?),Первая страница легендарной(?) группы,A Primeira Página de uma Banda Lendária(?),เรื่องราวหน้าแรกของวงในตำนาน (?),Halaman Pertama Suatu Band Legendaris(?),,
